name,trading_name,nzbn,street,suburb,postcode,phone,email,website,facebook,instagram,x,linkedin,sources,last_seen_date,notes
Mangawhai Lodge,Seaview Lodge,,4 Heather Street,Mangawhai Heads,0505,+6494315311,,https://seaviewlodge.co.nz,,,,,seaviewlodge;newzealand.com,2026-05-03,B&B + 2 self-contained apartments; mobile +64274960029
Mangawhai Chalets,,,,Mangawhai Heads,,,,https://www.mangawhaichalets.co.nz,,,,,mangawhaichalets;hotels.com,2026-05-03,accommodation; boutique coastal
Aotearoa Surf Lodge,,,,Mangawhai,,,,https://www.aotearoasurf.co.nz,,,,,aotearoasurf,2026-05-03,part of Aotearoa Surf School operation
Tudor Oaks Motel,,,47 Moir Street,Mangawhai,0505,,,https://www.expedia.co.nz/Mangawhai-Heads-Mangawhai-Hotels.0-n6344037-0.Travel-Guide-Filter-Hotels,,,,,expedia;hotels.com,2026-05-03,accommodation; verify direct phone
Tall Trees B&B,,,379C Tara Rd,Mangawhai,0573,,,https://www.tripadvisor.co.nz/Hotels-g1467538-c2-Mangawhai_Northland_Region_North_Island-Hotels.html,,,,,tripadvisor,2026-05-03,accommodation; address from tripadvisor; phone needs verification
Mangawhai Heads Holiday Park,,,,Mangawhai Heads,,,,https://mangawhaiheadsholidaypark.co.nz,,,,,mangawhaiheadsholidaypark,2026-05-03,
Te Arai Lodge,,,,Te Arai,,,,https://tearailodge.co.nz,,,,,tearailodge,2026-05-03,
Compass Rentals Limited,,,,Mangawhai,,,,https://www.facebook.com/CompassRentalsMangawhai/,https://www.facebook.com/CompassRentalsMangawhai/,,,,facebook,2026-05-03,property-management; long-term residential; website=facebook (only web presence)
Ray White Compass Rentals,,,,Mangawhai,,,,https://rwcompassrentals.co.nz,,,,,rwcompassrentals,2026-05-03,property-management; covers Mangawhai/Kaiwaka/Maungaturoto/Wellsford
Mangawhai Property and Cleaning Services,MPACS,,,Mangawhai,,,,https://www.mpacs.co.nz,,,,,mpacs,2026-05-03,property-management + cleaning-services; Airbnb specialty
Bach Stay,,,,Mangawhai Heads,,,,https://bachstay.co.nz,,,,,bachstay,2026-05-03,holiday-homes; portfolio Mangawhai Heads + Langs Beach
Mangawhai Golf Club,,,,Mangawhai,,,,https://www.mangawhaigolf.co.nz,,,,,mangawhaigolf;tripadvisor,2026-05-03,things-to-do-tours; 18-hole championship course
Mangawhai Mini Golf,,,8 Wood Street,Mangawhai Heads,0505,,,https://www.facebook.com/mangawhaiminigolf/,https://www.facebook.com/mangawhaiminigolf/,,,,facebook,2026-05-03,things-to-do-tours; website=facebook (only web presence)
Fishmeister,,,,Mangawhai,,,,https://www.fishmeister.co.nz,,,,,fishmeister,2026-05-03,fishing charter — up to 6 people
Offshore Adventures,Day Fishing Charters,,,Mangawhai Heads,,,,https://offshoreadventures.net,,,,,offshoreadventures;tripadvisor,2026-05-03,things-to-do-tours; founded 2013 Tony Orton + Bea Bagnall
Eco Adventures Fishing Charters,,,,Mangawhai,,,,https://www.ecoadventures.co.nz/mangawhai-fishing-charters/,,,,,ecoadventures;northlandnz,2026-05-03,things-to-do-tours; Bream Bay fishing
Mangawhai Heads Surf School,,,,Mangawhai Heads,,,,https://mangawhaiheadssurfschool.com,https://www.facebook.com/mangawhaisurfschool/,,,,mangawhaiheadssurfschool;facebook,2026-05-03,surf-beach-watersports; lessons + kayak/SUP hire
Aotearoa Surf School,,,,Mangawhai,,,,https://www.aotearoasurf.co.nz,,,,,aotearoasurf,2026-05-03,surf-beach-watersports; 120 boards / 200 wetsuits
Bammas Surf Mangawhai,Bammas Surf Shop,,43 Moir Street,Mangawhai,0505,,,https://www.facebook.com/BammasMangawhai/,https://www.facebook.com/BammasMangawhai/,https://www.instagram.com/bammas_surfmangawhai/,,,facebook;instagram;surfseeker,2026-05-03,surf-beach-watersports + shops-boutiques; website=facebook (only web presence)
No Limits Surf & Skate Co,,,,Mangawhai Heads,,,,https://nolimitssurfandskate.co.nz,,,,,nolimitssurfandskate,2026-05-03,surf-beach-watersports + shops-boutiques
DEC Construction,,,,Mangawhai,,,,https://www.decltd.co.nz,,,,,decltd,2026-05-03,builders-renovations
Pierce Construction,,,,Mangawhai,,,,https://pierceconstruction.co.nz,,,,,pierceconstruction,2026-05-03,builders-renovations
Oakland Homes,,,,Mangawhai,,,,https://www.oaklandhomes.co.nz,,,,,oaklandhomes,2026-05-03,builders-renovations; established 1987
Te Arai Builders,,,,Te Arai,,,,https://www.tearaibuilders.co.nz,,,,,tearaibuilders,2026-05-03,builders-renovations
Stuart Contract Builders,,,,Mangawhai,,,,https://stuartbuilders.co.nz,,,,,stuartbuilders,2026-05-03,builders-renovations
Brackenridge Builders,,,,Mangawhai,,,,https://www.brackenridgebuilders.co.nz,,,,,brackenridgebuilders,2026-05-03,builders-renovations
Green Build Projects,,,,Mangawhai,,,,https://www.greenbuildprojects.co.nz,,,,,greenbuildprojects,2026-05-03,builders-renovations; Master Builders
Central Building Tony Farley,,,,Mangawhai,,,,https://www.centralbuilding.co.nz,,,,,centralbuilding,2026-05-03,builders-renovations
RD Construction,Richard Denton,,,Warkworth-Wellsford-Mangawhai,,,,http://www.rdconstruction.co.nz,,,,,rdconstruction,2026-05-03,builders-renovations; established 1998
Plumbuilt Plumbing Northland,,,,Mangawhai,,,,https://www.facebook.com/PlumbuiltNorthland/,https://www.facebook.com/PlumbuiltNorthland/,,,,facebook,2026-05-03,plumbers; covers north of Warkworth; website=facebook (only web presence)
Laser Electrical Mangawhai,,,,Mangawhai Heads,,,,https://www.lasergroup.co.nz/m/laser-electrical-mangawhai,,,,,lasergroup,2026-05-03,electricians; Marcus and Vicky Emerson; covers Mangawhai/Langs/Waipu/Te Arai/Kaiwaka
Mangawhai Painters & Decorators,,,,Mangawhai,,,,https://mangawhaipainters.co.nz,,,,,mangawhaipainters,2026-05-03,painters-decorators; Mike Watson since 1992
SD Property Services,,,,Mangawhai,,,,https://sdpropertyservices.co.nz,,,,,sdpropertyservices,2026-05-03,painters-decorators
Wall 2 Wall Painting,,,,Mangawhai,,,,https://wall2wallpainting.co.nz,,,,,wall2wallpainting,2026-05-03,painters-decorators
GT Painters,,,,Kaiwaka-Mangawhai,,,,https://www.gtpainters.co.nz,,,,,gtpainters,2026-05-03,painters-decorators; interior specialist
Paint Mac's,,,,Mangawhai,,,,https://www.paintmacs.co.nz,,,,,paintmacs,2026-05-03,painters-decorators
Northland Painters,,,,Mangawhai,,,,https://northlandpainters.co.nz,,,,,northlandpainters,2026-05-03,painters-decorators
Jim's Mowing Mangawhai,,,,Mangawhai,,0800454654,,https://www.jimsmowing.co.nz/lawn-mowing/northland/mangawhai/,,,,,jimsmowing,2026-05-03,landscaping-gardening
Landscaping Mangawhai,,,,Mangawhai,,,,https://landscapingmangawhai.co.nz,,,,,landscapingmangawhai,2026-05-03,landscaping-gardening
VIP Home Services Mangawhai,,,,Mangawhai,,,,https://www.viphomeservices.co.nz/service/lawn-mowing/mangawhai/,,,,,viphomeservices,2026-05-03,landscaping-gardening + cleaning-services; franchisee Marc Simkin
Grasshopper Lawnmowing Mangawhai,,,,Mangawhai,,,,https://www.facebook.com/p/Grasshopper-Lawnmowing-Mangawhai-61563838291406/,https://www.facebook.com/p/Grasshopper-Lawnmowing-Mangawhai-61563838291406/,,,,facebook,2026-05-03,landscaping-gardening; website=facebook (only web presence)
Premier Property Care,,,,Mangawhai,,,,https://premierpropertycare.co.nz,,,,,premierpropertycare,2026-05-03,landscaping-gardening
Nailhead Fencing & Landscaping,,,,Mangawhai,,,,https://nailhead.nz,,,,,nailhead,2026-05-03,landscaping-gardening + builders-renovations
Rochford Landscapes,,,,Matakana-Mangawhai,,,,https://www.rochfordlandscapes.co.nz,,,,,rochfordlandscapes,2026-05-03,landscaping-gardening
Wyatt Landscape Supplies Mangawhai,,,107 Mangawhai Heads Rd,Mangawhai,,,,https://www.facebook.com/mangawhailandscapesupplies/,https://www.facebook.com/mangawhailandscapesupplies/,,,,facebook;yellow,2026-05-03,garden-hardware; website=facebook (only web presence)
Seabreeze Clean,,,,Mangawhai,,,,https://seabreezeclean.co.nz,,,,,seabreezeclean,2026-05-03,cleaning-services
The Mangawhai Cleaning Co,,,,Mangawhai,,,,https://www.facebook.com/ocdthatsme/,https://www.facebook.com/ocdthatsme/,,,,facebook,2026-05-03,cleaning-services; website=facebook (only web presence)
ECO MAID Mangawhai,,,,Mangawhai,,,,https://www.facebook.com/ecomaid.nz/,https://www.facebook.com/ecomaid.nz/,,,,facebook,2026-05-03,cleaning-services since 2018; website=facebook (only web presence)
Get Washed,,,,Mangawhai,,,,https://getwashed.co.nz,,,,,getwashed,2026-05-03,cleaning-services; exterior + house washing
Reset Cleaning Co,,,,Mangawhai,,,,https://www.facebook.com/ResetCleaningCo/,https://www.facebook.com/ResetCleaningCo/,,,,facebook,2026-05-03,cleaning-services; website=facebook (only web presence)
Bubble Cleaning Mangawhai,,,,Mangawhai,,,,https://bubblecleaning.co.nz,,,,,bubblecleaning,2026-05-03,cleaning-services; residential + commercial
Bayleys Mangawhai,Mackys Real Estate Ltd,,198 Molesworth Drive,Mangawhai Heads,0505,+6494315415,,https://www.bayleys.co.nz/mangawhai,https://www.facebook.com/BayleysMangawhai/,,,,bayleys;facebook,2026-05-03,real-estate; led by Kirsty Macky + Stephen Owles
Ray White Mangawhai,,,,Mangawhai Heads,,,,https://rwmangawhai.co.nz,,,,,rwmangawhai,2026-05-03,real-estate; verify office address/phone
Coast to Coast Health Care Mangawhai,Mangawhai Medical Centre,,68 Moir Street,Mangawhai,0505,+6494314511,,https://comprehensivecare.co.nz,,,,,comprehensivecare;healthpages,2026-05-03,medical-dental; GP / medical centre
Mangawhai Dental,,,30 Moir Street,Mangawhai,0505,+6494315884,info@mangawhaidental.co.nz,https://www.mangawhaidental.co.nz,,,,,mangawhaidental,2026-05-03,medical-dental
Mangawhai Physiotherapy,Mangawhai Physio,,,Mangawhai,,,,https://www.facebook.com/MangawhaiPhysio/,https://www.facebook.com/MangawhaiPhysio/,,,,facebook,2026-05-03,medical-dental; verify address/phone; website=facebook (only web presence)
Dr Anthoinet Top,,,4 Fagan Pl,Mangawhai,,+6494314128,,https://healthpages.co.nz/directory/listing/general-practitioners-anthoinet-top,,,,,healthpages,2026-05-03,medical-dental; GP
TBI Health Mangawhai,,,,Mangawhai,,,,https://tbihealth.co.nz/location/mangawhai/,,,,,tbihealth,2026-05-03,medical-dental; physiotherapy clinic
SunDocs,,,,Mangawhai,,,,https://sundocs.co.nz,,,,,sundocs,2026-05-03,medical-dental; verify scope
Heads of Hair,,,Shop 8/7 Wood Street,Mangawhai Heads,0505,,,https://www.fresha.com/lvp/heads-of-hair-wood-street-mangawhai-eXnAQK,,https://www.instagram.com/headsofhairmangawhai/,,,fresha;instagram,2026-05-03,beauty-hair-spa
The Don Hair and Beauty Barbershop,,,4/41 Moir Street,Mangawhai,0505,,,https://thedonbarbershop.nz,https://www.facebook.com/TheDon.HairandBeautyBarbershopMangawhai/,,,,thedonbarbershop;facebook,2026-05-03,beauty-hair-spa
The Village Hair Co,,,,Mangawhai,0505,,,https://www.facebook.com/thevillagehairco/,https://www.facebook.com/thevillagehairco/,,,,facebook,2026-05-03,beauty-hair-spa; website=facebook (only web presence)
Magnolia Hair,,,,Mangawhai,0505,,,https://kimblacklerhair.gettimely.com/,,,,,gettimely,2026-05-03,beauty-hair-spa
Mangawhai Reformer Pilates,,,,Mangawhai,,,,https://www.mangawhaireformerpilates.co.nz,https://m.facebook.com/people/Mangawhai-Reformer-Pilates/100051045674006/,,,,mangawhaireformerpilates,2026-05-03,fitness-yoga-pilates
Zest Pilates Mangawhai,,,,Mangawhai Heads,,,,https://www.thepilateschoice.com/pilates-studio-directory-1/zest-pilates,https://www.facebook.com/p/Zest-Pilates-Mangawhai-61558444207601/,https://www.instagram.com/zestpilates_mangawhai/,,,thepilateschoice;facebook;instagram,2026-05-03,fitness-yoga-pilates
Tempo de Joie,,,,Mangawhai,,,,https://nataliecavepilates.offeringtree.com/,,,,,offeringtree,2026-05-03,fitness-yoga-pilates; private/small group reformer
FIT365 Mangawhai,,,,Mangawhai,,,,https://www.fit365mangawhai.co.nz,,,,,fit365mangawhai,2026-05-03,fitness-yoga-pilates; Aaron + Joanne McIlwee
Caro With Love,,,,Mangawhai,,,,https://carowithlove.com,,,,,carowithlove,2026-05-03,shops-boutiques; women's fashion + homewares
Threadbox,,,Bennetts Mangawhai (52 Moir Street),Mangawhai,0505,,,https://www.threadbox.co.nz,,,,,threadbox,2026-05-03,shops-boutiques; surf-inspired clothing/print
Dimity Boutique,,,,Mangawhai,,,,https://www.facebook.com/DimityBoutiqueMangawhai/,https://www.facebook.com/DimityBoutiqueMangawhai/,,,,facebook,2026-05-03,shops-boutiques; NZ + AU designer labels; website=facebook (only web presence)
Mangawhai Boutique,,,,Mangawhai,,,,https://mangawhai-boutique.com,,,,,mangawhai-boutique,2026-05-03,shops-boutiques; coastal-inspired
PlantHouse Mangawhai,,,,Mangawhai,,,,https://planthouse.co.nz,https://www.facebook.com/planthousenz/,,,,planthouse;facebook,2026-05-03,garden-hardware; 2500m garden centre
Mangawhai Landscape Supplies,,,,Mangawhai,,,,https://yellow.co.nz/y/mangawhai-landscape-mangawhai,,,,,yellow,2026-05-03,garden-hardware
Mangawhai Natives,,,,Mangawhai,,,,https://mangawhainatives.co.nz,,,,,mangawhainatives,2026-05-03,garden-hardware; eco-sourced NZ natives
My Two Cents Accounting & Advisory,,,,Mangawhai,,,,https://www.mytwocents.nz,,,,,mytwocents;finda,2026-05-03,professional-services; bookkeeping + accounting; team of 11
Super Shoppe Mangawhai,Jackson Brown Automotive,,,Mangawhai,,+6494314814,,https://supershoppemangawhai.co.nz,,,,,supershoppemangawhai;autosupershoppes,2026-05-03,automotive-marine; tyres + WoF + servicing
Mangawhai Mechanic Ltd,,,2188 Cove Road,Mangawhai,,,,https://www.facebook.com/mangawhaimechanic/,https://www.facebook.com/mangawhaimechanic/,,,,facebook,2026-05-03,automotive-marine; website=facebook (only web presence)
Mangawhai Village Automotive,,,,Mangawhai,,,,https://www.nocowboys.co.nz/businesses/mangawhai-village-automotive,,,,,nocowboys,2026-05-03,automotive-marine
Fast Crew Automotive,,,,Mangawhai,,,,https://www.fastcrewautomotive.co.nz,,,,,fastcrewautomotive,2026-05-03,automotive-marine
Jackson Brown Automotive and Marine,,,,Mangawhai,,,,https://www.jacksonbrown.co.nz,,,,,jacksonbrown,2026-05-03,automotive-marine; legacy brand of Super Shoppe + Mangawhai Marine
Mangawhai Marine,,,,Mangawhai,,,,https://mangawhaimarine.co.nz,https://www.facebook.com/MangawhaiMarine/,,,,mangawhaimarine;facebook,2026-05-03,automotive-marine; outboard servicing + Honda Marine + Kingfisher Boats
Mangawhai Beach School,,,,Mangawhai,,,,https://www.mangawhaibeach.school.nz,https://www.facebook.com/mangawhailibrary,,,,mangawhaibeach;mangawhaiinfo,2026-05-03,schools-childcare; primary
Mangawhai Hills College,,,,Mangawhai,,,,https://mangawhaihills.school.nz,,,,,mangawhaihills,2026-05-03,schools-childcare; independent secondary; Y7-13; opened 2025
Mangawhai Village Preschool,,,,Mangawhai,,,,https://mvpreschool.co.nz,,,,,mvpreschool;myece,2026-05-03,schools-childcare; ECE 0-5
Fame Preschool Mangawhai,,,,Mangawhai,,,,https://www.myece.org.nz/service/mangawhai/fame-preschool-mangawhai/,,,,,myece,2026-05-03,schools-childcare; community-owned; takes infants
Mangawhai Kindergarten,,,,Mangawhai,,,,https://www.myece.org.nz/service/mangawhai/mangawhai-kindergarten/,,,,,myece;ero,2026-05-03,schools-childcare; community-owned; 2yo+
BeforeSix Early Childcare Centre,,,,Mangawhai,,,,https://beforesixchildcare.co.nz,,,,,beforesix,2026-05-03,schools-childcare
Miniwhais,,,,Mangawhai,,,,https://www.miniwhais.co.nz,,,,,miniwhais,2026-05-03,schools-childcare; licensed for 50; 0-6 years
Mangawhai Toy Library,,,,Mangawhai,,,,https://mangawhaitoylibrary.co.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Mangawhai United Soccer Club,,,,Mangawhai,,,,https://sporty.co.nz/mangawhaifootballclub,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; sport
Mangawhai Museum,,,,Mangawhai,,,,https://mangawhai-museum.org.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; things-to-do-tours
Citizens Advice Bureau Wellsford,,,,Wellsford,,,,https://cab.org.nz/location/cab-wellsford,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; serves Mangawhai/Wellsford
Feeling Fab,,,,Mangawhai,,,,https://feelingfab.org.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Plastic Free Mangawhai,,,,Mangawhai,,,,https://www.facebook.com/PlasticFreeMangawhai,https://www.facebook.com/PlasticFreeMangawhai,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; environmental
Mangawhai Activity Zone,MAZ,,,Mangawhai,,,,https://mangawhaiactivityzone.co.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + things-to-do-tours
Fairy Terns,New Zealand Fairy Tern Trust,,,Mangawhai,,,,https://fairytern.org.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; conservation
Mangawhai Walking Weekend,,,,Mangawhai,,,,https://mangawhaiwalking.co.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; annual event
Zonta Club of Mangawhai,,,,Mangawhai,,,,https://www.facebook.com/ZontaClubOfMangawhai,https://www.facebook.com/ZontaClubOfMangawhai,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; service club
Mangawhai Library,,,,Mangawhai,,,,https://www.facebook.com/mangawhailibrary,https://www.facebook.com/mangawhailibrary,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Mangawhai St Johns Opportunity Shop,,,,Mangawhai,,,,https://stjohn.org.nz/shop/retail-stores/mangawhai,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + shops-boutiques
Te Whai Community Trust,,,,Mangawhai,,,,https://tewhaicommunitytrust.co.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Mangawhai Surf Life Saving Club,,,,Mangawhai Heads,,,,https://mangawhaisurfclub.org.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + surf-beach-watersports
Mangawhai Community Patrol,,,,Mangawhai,,,,https://www.facebook.com/Mangawhai-Community-Patrol-CPNZ,https://www.facebook.com/Mangawhai-Community-Patrol-CPNZ,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Mangawhai Harbour Restoration Society,,,,Mangawhai,,,,https://mangawhaiharbourrestorationsociety.com,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; environmental
Otamatea Community Services,,,,Otamatea,,,,https://otamateacs.org.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Mangawhai Community Op Shop,,,,Mangawhai,,,,https://mangawhaicommunityopshop.com,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + shops-boutiques
Mangawhai Shed,,,,Mangawhai,,,,https://mangawhaished.org,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Sustainable Kaipara,,,,Mangawhai,,,,https://sustainablekaipara.org,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Warkworth Wellsford Budget Service,,,,Wellsford,,,,https://wwbudgetservice.co.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; serves Mangawhai
Mangawhai Movies,,,,Mangawhai,,,,https://mangawhaimovies.com,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + things-to-do-tours
The Mangawhai Tracks Charitable Trust,,,,Mangawhai,,,,https://mangawhaitracks.com,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + things-to-do-tours
Mangawhai Domain Society,,,,Mangawhai,,,,https://mangawhaidomain.org.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Mangawhai Business Association,,,,Mangawhai,,,hello@mangawhai.co.nz,https://www.mangawhai.co.nz,,,,,mangawhai.co.nz,2026-05-03,community-clubs-churches + professional-services
Mangawhai Community Garden,,,,Mangawhai,,,,https://www.facebook.com/mangawhaicommunitygarden,https://www.facebook.com/mangawhaicommunitygarden,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Mangawhai Community Market,,,,Mangawhai,,,,https://www.facebook.com/mangawhaimarket,https://www.facebook.com/mangawhaimarket,,,,mangawhaiinfo,2026-05-03,community-clubs-churches
Mangawhai Boating & Fishing Club,,,,Mangawhai,,,,https://mangawhaiboatingfishing.co.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + things-to-do-tours
Mangawhai Rotary,,,,Mangawhai,,,,https://www.facebook.com/mangawhai.rotary,https://www.facebook.com/mangawhai.rotary,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; service club
Piroa Conservation Trust,,,,Mangawhai,,,,https://pbl.org.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; conservation
Weed Action Piroa-Brynderwyns,,,,Mangawhai,,,,https://pbl.org.nz/page29.html,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches; conservation
Mangawhai Information Centre,,,180 Molesworth Drive,Mangawhai Heads,0505,,mangawhaiinfo@gmail.com,https://www.mangawhaiinfo.co.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + things-to-do-tours
St Pauls Anglican Mangawhai,Mangawhai Mission District,,9 Molesworth Drive,Mangawhai,,,,https://mangawhaianglican.org.nz,,,,,mangawhaianglican;aucklandanglican,2026-05-03,community-clubs-churches; serves Mangawhai/Hakaru/Kaiwaka
St Pauls Anglican Kaiwaka,,,13 Kaiwaka-Mangawhai Rd,Kaiwaka,0540,,,https://aucklandanglican.org.nz/find-a-church/st-pauls-mangawhai/,,,,,aucklandanglican,2026-05-03,community-clubs-churches; PO Box 58 Mangawhai
RnR Charters Ltd,,,,Mangawhai,,,,https://www.newzealand.com/int/plan/business/rnr-charters-ltd-boat-cruise/,,,,,newzealand.com,2026-05-03,things-to-do-tours; boat charter; verify direct contact
Mangawhai Information Centre Trust,,,180 Molesworth Drive,Mangawhai Heads,0505,,mangawhaiinfo@gmail.com,https://www.mangawhaiinfo.co.nz,,,,,mangawhaiinfo,2026-05-03,community-clubs-churches + things-to-do-tours
